Référence du projet;Méthode;Nom du projet;RE potentielles (tCO2);RE vérifiées (tCO2);Région administrative;Demandeur;Date de notification;Date de labelisation;Financé à
25975270;Reboisement;ONF - reboisement en forêt domaniale d'ANDIGNY;3125;0;Hauts-de-France;OFFICE NATIONAL DES FORETS BOURGOGNE FRANCHE COMTE;27/02/2025;02/07/2026;0.00 %
29080728;Boisement;SYLVO/Forêt d'ici - 38 Rubempré (80);3528;0;Hauts-de-France;Forêts & Bois de l'Est;30/01/2026;02/07/2026;0.00 %
30169480;Reboisement;Carbonapp n°363 Reboisement Sainte-Hélène 2 (33);2413;0;Nouvelle Aquitaine;Carbonapp SAS;24/03/2026;30/06/2026;0.00 %
24697804;Boisement;EcoTree - Bretagne (56) - 17;3456;0;Bretagne;Ecotree;24/06/2025;26/06/2026;0.00 %
30870012;Gestion forestière à stock continu;Maa Biodiversity 028a - La trame vivante de l’Orne (61);2378;0;Normandie;Maa Biodiversity;23/04/2026;23/06/2026;0.00 %
29231595;Boisement;CNPF C+for n° 261 Venas (Deloitte France n° 10);352;0;Auvergne Rhône Alpes;Olivier GLEIZES;06/02/2026;22/06/2026;0.00 %
30045790;Boisement;CNPF C+for n° 270 Tour de France 2026 Marcolès (A.S.O. n° 48);486;0;Auvergne Rhône Alpes;Olivier GLEIZES;18/03/2026;22/06/2026;0.00 %
21459976;Reboisement;SF²X4C_JOIGNY_R3;27817;0;Bourgogne Franche Comté;SOCIETE FORESTIERE;13/12/2024;22/06/2026;0.00 %
31022146;Reboisement;Carbonapp n°383 Reboisement Sainte-Hélène 3 (33);16029;0;Nouvelle Aquitaine;Carbonapp SAS;30/04/2026;19/06/2026;0.00 %
30106877;Boisement;SYLVO/Coopérative CFBL n°39 - GENTIOUX-PIGEROLLES (23);608;0;Nouvelle Aquitaine;CFBL Coopérative Forestière;20/03/2026;19/06/2026;0.00 %
30522021;Reboisement;Carbonapp n°364 Reboisement Landiras 2 (33);1879;0;Nouvelle Aquitaine;Carbonapp SAS;08/04/2026;19/06/2026;0.00 %
31405940;Boisement;MaForêt #149 - Puyoô 64;439;0;Nouvelle Aquitaine;Actiforest;20/05/2026;19/06/2026;0.00 %
29958020;Reboisement;Carbonapp n°367 Reboisement Vensac 3 (33);664;0;Nouvelle Aquitaine;Carbonapp SAS;24/03/2026;19/06/2026;0.00 %
30546541;Reboisement;Carbonapp n°369 Reboisement Hostens 2 (33);3817;0;Nouvelle Aquitaine;Carbonapp SAS;09/04/2026;19/06/2026;0.00 %
30398822;Reboisement;Carbonapp n°365 Reboisement Saint-Symphorien 2 (33);19233;0;Nouvelle Aquitaine;Carbonapp SAS;02/04/2026;19/06/2026;0.00 %
27940050;Boisement;Alliance Forêts Bois / GCF n°756 - Saint-Amans-Valtoret 1 (81)	;462;0;Occitanie;Alliance Forêts bois;27/11/2025;17/06/2026;0.00 %
27824468;Boisement;Alliance Forêts Bois / GCF n°735 - Fréjairolles 1 (81) ;1081;0;Occitanie;Alliance Forêts bois;20/11/2025;17/06/2026;0.00 %
29779347;Boisement;CNPF C+for n° XX Tour de France 2026 Lantenne-Vertière (A.S.O. n° XX);565;0;Bourgogne Franche Comté;Olivier GLEIZES;05/03/2026;17/06/2026;0.00 %
27922877;Reboisement;ONF - REBOISEMENT EN FORET COMMUNALE D'ANTEUIL;2366;0;Bourgogne Franche Comté;OFFICE NATIONAL DES FORETS BOURGOGNE FRANCHE COMTE;26/11/2025;17/06/2026;0.00 %
30804149;Boisement;CNPF C+for n° 274 Tour de France femmes 2026 Thorey-sous-Charny (A.S.O. n° 52);1109;0;Bourgogne Franche Comté;Olivier GLEIZES;21/04/2026;17/06/2026;0.00 %
29691355;Boisement;Alliance Forêts Bois / GCF n°779 - Bonneuil-Matours 2 (86);1633;0;Nouvelle Aquitaine;Alliance Forêts bois;02/03/2026;16/06/2026;0.00 %
26416032;Boisement;Alliance Forêts Bois / GCF n°654 - Rosiers-d'Égletons 1 (19) ;2031;0;Nouvelle Aquitaine;Alliance Forêts bois;15/09/2025;16/06/2026;0.00 %
30309855;Boisement;Alliance Forêts Bois / GCF n°830 - Ruch 1 (33);4223;0;Nouvelle Aquitaine;Alliance Forêts bois;30/03/2026;16/06/2026;0.00 %
27577604;Boisement;Oklima - Boisement à Fauillet;5175;0;Nouvelle Aquitaine;Oklima;06/11/2025;16/06/2026;0.00 %
29692953;Boisement; Alliance Forêts Bois / GCF n°801 - Labastide-d'Armagnac 1 (40) 	;558;0;Nouvelle Aquitaine;Alliance Forêts bois;02/03/2026;16/06/2026;0.00 %
26539390;Boisement;Alliance Forêt Bois / GCF n°701 - Lugon-et-l'Île-du-Carnay 2 (33);894;0;Nouvelle Aquitaine;Alliance Forêts bois;19/09/2025;16/06/2026;0.00 %
30397959;Boisement;Alliance Forêts Bois / GCF n°831 - Tartas 1 (40);698;0;Nouvelle Aquitaine;Alliance Forêts bois;02/04/2026;16/06/2026;0.00 %
29576835;Boisement;Alliance Forêts Bois / GCF n°743 - Pleuville 1 (16);1953;0;Nouvelle Aquitaine;Alliance Forêts bois;24/02/2026;16/06/2026;0.00 %
29694273;Boisement;Alliance Forêts Bois / GCF n°820 - Civrac-de-Blaye 2 (33);1645;0;Nouvelle Aquitaine;Alliance Forêts bois;02/03/2026;16/06/2026;0.00 %
